"HydroID","cnt","coreforest_2006_sum","coreforest_2006_pct"
201480087,0,0,NA
201480086,0,0,NA
201480176,0,0,NA
201480107,0,0,NA
201480106,0,0,NA
201480179,0,0,NA
201480296,0,0,NA
201480175,0,0,NA
201480462,0,0,NA
201480240,0,0,NA
201480295,0,0,NA
201480461,0,0,NA
201480603,0,0,NA
201480452,0,0,NA
201480636,0,0,NA
201480451,0,0,NA
201480644,0,0,NA
201480643,0,0,NA
201480635,0,0,NA
201480884,0,0,NA
201480602,0,0,NA
201480883,0,0,NA
201480704,0,0,NA
201480820,0,0,NA
201480703,0,0,NA
201481013,0,0,NA
201480839,0,0,NA
201480949,0,0,NA
201480821,0,0,NA
201481139,0,0,NA
201481130,0,0,NA
201480921,0,0,NA
201481018,0,0,NA
201481059,0,0,NA
201481088,0,0,NA
201481017,0,0,NA
201481022,0,0,NA
201480952,0,0,NA
201481021,0,0,NA
201481135,2102,563,0.267840152235966
201481176,0,0,NA
201481100,0,0,NA
201481169,0,0,NA
201481072,0,0,NA
201481087,0,0,NA
201481145,0,0,NA
201481111,0,0,NA
201481146,0,0,NA
201481129,0,0,NA
201481263,0,0,NA
201481144,0,0,NA
201481142,2219,928,0.418206399278954
201481175,0,0,NA
201481278,0,0,NA
201481279,0,0,NA
201481187,0,0,NA
201481503,0,0,NA
201481404,0,0,NA
201481289,0,0,NA
201481315,0,0,NA
201481322,0,0,NA
201481284,0,0,NA
201481375,0,0,NA
201481321,0,0,NA
201481290,0,0,NA
201481634,0,0,NA
201481310,0,0,NA
201481456,4159,1435,0.345034864150036
201481302,0,0,NA
201481296,0,0,NA
201481330,0,0,NA
201481544,0,0,NA
201481435,0,0,NA
201481373,0,0,NA
201481498,0,0,NA
201481501,1450,151,0.104137931034483
201481408,0,0,NA
201481382,0,0,NA
201481407,0,0,NA
201481502,0,0,NA
201481469,0,0,NA
201481636,0,0,NA
201481500,1188,556,0.468013468013468
201481478,1556,544,0.349614395886889
201481514,1314,336,0.255707762557078
201481651,0,0,NA
201481511,0,0,NA
201481532,0,0,NA
201481711,0,0,NA
201481455,1067,243,0.227741330834114
201481627,0,0,NA
201481574,1099,159,0.144676979071884
201481635,0,0,NA
201481479,923,327,0.354279523293608
201481659,0,0,NA
201481628,0,0,NA
201481515,945,330,0.349206349206349
201481733,1705,739,0.433431085043988
201481600,0,0,NA
201481545,0,0,NA
201481538,42,3,0.0714285714285714
201481535,485,294,0.606185567010309
201481575,937,225,0.240128068303095
201481537,3,0,0
201481642,2909,1136,0.39051220350636
201481667,758,112,0.147757255936675
201481825,0,0,NA
201481748,1028,239,0.232490272373541
201481664,0,0,NA
201481599,0,0,NA
201481699,0,0,NA
201481688,0,0,NA
201481663,0,0,NA
201481665,0,0,NA
201482016,0,0,NA
201481824,0,0,NA
201481671,0,0,NA
201481644,0,0,NA
201481641,0,0,NA
201481652,0,0,NA
201481746,0,0,NA
201481739,0,0,NA
201481681,0,0,NA
201481689,0,0,NA
201481668,953,170,0.178384050367261
201481940,0,0,NA
201481648,0,0,NA
201481682,0,0,NA
201481740,0,0,NA
201481747,0,0,NA
201481700,0,0,NA
201481712,0,0,NA
201481732,1254,269,0.21451355661882
201481741,0,0,NA
201481831,2592,482,0.185956790123457
201481762,21,2,0.0952380952380952
201481887,0,0,NA
201481796,0,0,NA
201481972,1494,438,0.293172690763052
201481873,0,0,NA
201481800,1042,454,0.435700575815739
201482058,1970,411,0.208629441624365
201481982,0,0,NA
201481902,0,0,NA
201481946,0,0,NA
201482006,0,0,NA
201482118,0,0,NA
201481922,2161,1323,0.612216566404442
201481912,1244,142,0.114147909967846
201482256,0,0,NA
201481985,1619,426,0.263125386040766
201481938,0,0,NA
201482072,0,0,NA
201481955,0,0,NA
201482031,1433,258,0.180041870202373
201481949,92,0,0
201482014,0,0,NA
201481954,1475,372,0.252203389830508
201482138,0,0,NA
201482005,0,0,NA
201482013,0,0,NA
201481977,44,0,0
201482137,0,0,NA
201482171,0,0,NA
201481986,39,0,0
201481990,0,0,NA
201482012,0,0,NA
201482037,1424,327,0.229634831460674
201482135,1199,38,0.0316930775646372
201482231,0,0,NA
201482062,1587,262,0.165091367359798
201482017,0,0,NA
201482047,0,0,NA
201482158,0,0,NA
201482055,0,0,NA
201482249,0,0,NA
201482103,2956,577,0.195196211096076
201482041,0,0,NA
201482059,0,0,NA
201482134,0,0,NA
201482104,78,18,0.230769230769231
201482145,0,0,NA
201482117,0,0,NA
201482286,0,0,NA
201482175,1283,445,0.346843335931411
201482159,983,207,0.21057985757884
201482177,0,0,NA
201482398,4465,532,0.119148936170213
201482170,0,0,NA
201482257,0,0,NA
201482203,0,0,NA
201482197,0,0,NA
201482198,0,0,NA
201482428,0,0,NA
201482434,0,0,NA
201482285,0,0,NA
