HydroID,staSeq,date,sampYr,lev1Name,lev1Memb,lev2Name,lev2Memb,levPropNum,taxa,hq,lcYr,area_sqkm,length_km,sum_strdrf_pct,catch_strdrf_pct,slp_mean,rc_sqkm,ag,coreforest,dev,fragforest,openwater,wetland
201484795,14863,2009-10-22,2009,2,1,2,0,2,bug,1,2010,13.4208,24.216975651,0.005192041,0.065514104,11.060096782765,0,0.000692281,0.820906888196608,0.044167532017999,0.104880581516096,0.004015230183454,0.086188992731049
201484795,14863,1994-07-07,1994,1,1,NA,0,1,fish,1,1995,13.4208,24.216975651,0.005192041,0.065514104,11.060096782765,0,0.000692281,0.843959847698165,0.042506057459329,0.087712011076497,0.004361370716511,0.085842852197992
201484795,14863,2009-06-04,2009,3,1,NA,0,3,fish,0,2010,13.4208,24.216975651,0.005192041,0.065514104,11.060096782765,0,0.000692281,0.820906888196608,0.044167532017999,0.104880581516096,0.004015230183454,0.086188992731049
201484795,14863,2019-06-07,2019,1,1,NA,0,1,fish,1,2015,13.4208,24.216975651,0.005192041,0.065514104,11.060096782765,0,0.000692281,0.825406715126341,0.044652128764278,0.100380754586362,0.004153686396677,0.086188992731049
201484795,14863,2002-07-01,2002,1,1,NA,0,1,fish,1,2002,13.4208,24.216975651,0.005192041,0.065514104,11.060096782765,0,0.000692281,0.836413984077536,0.042644513672551,0.092488750432676,0.003738317757009,0.086396677050883
201484795,14863,2015-11-17,2015,2,0.6,3,0.4,2.4,bug,1,2015,13.4208,24.216975651,0.005192041,0.065514104,11.060096782765,0,0.000692281,0.825406715126341,0.044652128764278,0.100380754586362,0.004153686396677,0.086188992731049
201484795,14863,2017-08-01,2017,2,1,NA,0,2,fish,1,2015,13.4208,24.216975651,0.005192041,0.065514104,11.060096782765,0,0.000692281,0.825406715126341,0.044652128764278,0.100380754586362,0.004153686396677,0.086188992731049
201484795,14863,2002-10-17,2002,3,1,3,0,3,bug,0,2002,13.4208,24.216975651,0.005192041,0.065514104,11.060096782765,0,0.000692281,0.836413984077536,0.042644513672551,0.092488750432676,0.003738317757009,0.086396677050883
201484922,14207,2009-10-22,2009,4,1,4,0,4,bug,0,2010,244.3329,456.238148789,0.188638441,0.333845268,10.2999390241151,0,0.050810983,0.271726980312835,0.172378656649456,0.319781456500414,0.071110283102801,0.06894690016501
201484922,14207,2014-09-24,2014,4,1,4,0,4,bug,0,2015,244.3329,456.238148789,0.188638441,0.333845268,10.2999390241151,0,0.050198849,0.269035108397272,0.173907092398123,0.321017132167869,0.07043731512391,0.068878462743428
201484922,14207,2004-10-12,2004,5,1,5,0,5,bug,0,2002,244.3329,456.238148789,0.188638441,0.333845268,10.2999390241151,0,0.052940148,0.28317884219091,0.166394184339997,0.315390055282228,0.071178720524383,0.069243462325199
201484922,14207,2012-09-25,2012,5,0.871794872,4,0.128205128,4.871794872,bug,0,2010,244.3329,456.238148789,0.188638441,0.333845268,10.2999390241151,0,0.050810983,0.271726980312835,0.172378656649456,0.319781456500414,0.071110283102801,0.06894690016501
201484922,14207,1994-07-26,1994,5,1,NA,0,5,fish,0,1995,244.3329,456.238148789,0.188638441,0.333845268,10.2999390241151,0,0.053692959,0.309930269871566,0.154482270905731,0.312781829104154,0.071330803683454,0.069669295170599
201485081,16813,1994-08-26,1994,3,1,NA,0,3,fish,0,1995,8.9352,15.581869029,0.112686337,0.333363587,9.85434176517302,0.67150147730325,0.010917031,0.41796631316282,0.187876897483884,0.299022665834893,0.010085256810148,0.085672697026409
201485081,17565,2015-09-29,2015,4,1,4,0,4,bug,0,2015,8.9352,15.581869029,0.112686337,0.333363587,9.85434176517302,0.67150147730325,0.010917031,0.34570596797671,0.201289249324184,0.326991058432106,0.013828238719068,0.079330422125182
201485225,14410,2007-09-18,2007,3,1,3,0,3,bug,0,2006,392.724,779.665605124,0.135539626,0.409386261,6.56066941831702,0.086574795530704,0.054381944,0.446960396812444,0.109284266348763,0.288015441056463,0.038448892894228,0.06195581984488
201485225,14410,2010-06-18,2010,3,1,NA,0,3,fish,0,2010,392.724,779.665605124,0.135539626,0.409386261,6.56066941831702,0.086574795530704,0.05402714,0.442321929942829,0.109882701901038,0.291083310271094,0.039477823586876,0.061066445269166
201485225,14410,2017-10-12,2017,4,1,4,0,4,bug,0,2015,392.724,779.665605124,0.135539626,0.409386261,6.56066941831702,0.086574795530704,0.053861565,0.436623782727683,0.110597039991106,0.293751433998235,0.039070982025645,0.061038060974196
201485225,14410,2018-10-10,2018,4,1,4,0,4,bug,0,2015,392.724,779.665605124,0.135539626,0.409386261,6.56066941831702,0.086574795530704,0.053861565,0.436623782727683,0.110597039991106,0.293751433998235,0.039070982025645,0.061038060974196
201485225,14410,1995-10-12,1995,4,1,4,0,4,bug,0,1995,392.724,779.665605124,0.135539626,0.409386261,6.56066941831702,0.086574795530704,0.054727286,0.471538830898197,0.101710390307709,0.28032093176179,0.03798055202723,0.062660696503291
201485225,14410,2014-09-17,2014,5,0.888888889,4,0.111111111,4.888888889,bug,0,2015,392.724,779.665605124,0.135539626,0.409386261,6.56066941831702,0.086574795530704,0.053861565,0.436623782727683,0.110597039991106,0.293751433998235,0.039070982025645,0.061038060974196
201485225,14410,2009-10-01,2009,4,1,4,0,4,bug,0,2010,392.724,779.665605124,0.135539626,0.409386261,6.56066941831702,0.086574795530704,0.05402714,0.442321929942829,0.109882701901038,0.291083310271094,0.039477823586876,0.061066445269166
201485225,14410,2017-08-01,2017,5,1,NA,0,5,fish,0,2015,392.724,779.665605124,0.135539626,0.409386261,6.56066941831702,0.086574795530704,0.053861565,0.436623782727683,0.110597039991106,0.293751433998235,0.039070982025645,0.061038060974196
